node_id,name,in_degree,out_degree,betweenness_centrality,clustering_coefficient,source_center,src_delay_minutes,src_sla_breaches,src_trips,destination_center,dest_delay_minutes,dest_sla_breaches,dest_trips,total_delay_minutes,total_sla_breaches,total_trips_handled,betweenness_rank,delay_rank,composite_rank
IND573103AAA,Arsikere_HsnRdDPP_D (Karnataka),1,2,0.0002038970694304198,0.6666666666666666,IND573103AAA,47.0,3.0,4.0,IND573103AAA,260.0,3.0,3.0,307.0,6.0,7.0,757.0,1107.0,932.0
IND533262AAA,Draksharamam_Anaipeta_D (Andhra Pradesh),2,2,0.000807662249755482,1.0,IND533262AAA,254.0,7.0,7.0,IND533262AAA,455.0,9.0,9.0,709.0,16.0,16.0,530.5,676.5,603.5
IND321408AAB,Weir_BsstdDPP_D (Rajasthan),0,1,0.0,0.0,IND321408AAB,90.0,3.0,3.0,0,0.0,0.0,0.0,90.0,3.0,3.0,1290.0,1424.0,1357.0
IND321606AAA,Kherli_GodamDPP_D (Rajasthan),2,2,0.0006089170985030904,0.3333333333333333,IND321606AAA,1894.0,6.0,6.0,IND321606AAA,346.0,5.0,5.0,2240.0,11.0,11.0,538.0,222.0,380.0
IND563101AAB,Kolar_Ambedkar_D (Karnataka),2,2,0.0009524443606046821,0.5,IND563101AAB,204.0,12.0,12.0,IND563101AAB,652.0,14.0,14.0,856.0,26.0,26.0,379.0,586.0,482.5
IND563125AAB,Chintamani_Central_D_2 (Karnataka),2,2,0.000942140524248626,0.5,IND563125AAB,1964.0,12.0,12.0,IND563125AAB,406.0,12.0,12.0,2370.0,24.0,24.0,380.0,213.0,296.5
IND563131AAA,Mulbagal_Sunku_D (Karnataka),1,1,0.0,1.0,IND563131AAA,388.0,11.0,11.0,IND563131AAA,186.0,11.0,11.0,574.0,22.0,22.0,1290.0,797.0,1043.5
IND563116AAA,Bethamangala_FshryOFC_D (Karnataka),2,1,0.00013428012379398884,1.0,IND563116AAA,216.0,10.0,10.0,IND563116AAA,327.0,13.0,13.0,543.0,23.0,23.0,766.5,830.0,798.25
IND563131AAB,Bangarapet_KolarRd_D (Karnataka),3,3,0.0018914144736668292,0.5,IND563131AAB,567.0,17.0,17.0,IND563131AAB,415.0,19.0,19.0,982.0,36.0,36.0,201.0,514.0,357.5
IND642001AAA,Pollachi_Venkatsa_DC (Tamil Nadu),1,1,5.944520974647807e-06,1.0,IND642001AAA,446.0,12.0,12.0,IND642001AAA,140.0,10.0,12.0,586.0,22.0,24.0,842.0,773.0,807.5
IND642126AAA,Udumalpet_Artclgrd_D (Tamil Nadu),1,1,6.737123771267515e-06,1.0,IND642126AAA,140.0,10.0,12.0,IND642126AAA,593.0,12.0,12.0,733.0,22.0,24.0,831.5,660.0,745.75
IND581110AAE,Haveri_GuttalRD_D (Karnataka),2,2,0.00081321046933182,0.6666666666666666,IND581110AAE,520.0,13.0,13.0,IND581110AAE,341.0,14.0,14.0,861.0,27.0,27.0,465.0,583.5,524.25
